,count,mean,std,min,25%,50%,75%,max
days_to_image,4694.0,4.942266723476779,4.730795832616384,0.0,2.0,4.0,7.0,42.0
B_B01,4694.0,0.34736866212222445,3.0501294455288326,0.0,0.0225000008940696,0.0310999993234872,0.0507999993860721,34.0
B_B02,4694.0,0.2966676396146158,2.447365611664292,0.0,0.0283000003546476,0.0399000011384487,0.0617000013589859,29.0
B_B03,4694.0,0.3041916276821506,2.3027697182261018,0.0094999996945261,0.0493000000715255,0.0632999986410141,0.08697499893605708,28.0
B_B04,4694.0,0.2653165105401932,1.9411161483220076,0.0046999999321997,0.0287249996326863,0.0564000010490417,0.1015999987721443,28.0
B_B05,4694.0,0.37161031103636205,2.586491130752126,0.0118000004440546,0.07472499832510948,0.10085000097751615,0.14604999870061872,36.0
B_B06,4694.0,0.6837428206935824,4.702681191629621,0.0114000001922249,0.1573999971151352,0.23294999450445175,0.2949749901890754,74.0
B_B07,4694.0,0.8100037921750207,5.467107534783977,0.0119000002741813,0.17822500318288798,0.278999999165535,0.3921000063419342,88.0
B_B08,4694.0,0.8061829359168651,5.3240313764268175,0.0170000009238719,0.18984999507665629,0.3005499988794327,0.3980000019073486,86.0
B_B09,4694.0,0.4504165318983035,1.2758778991488027,0.0119000002741813,0.20494999736547465,0.3158999979496002,0.4183000028133392,19.0
B_B11,4694.0,0.7522848103081147,5.786849783628786,0.0111999996006488,0.1478249989449978,0.1887000054121017,0.25577500462532043,77.0
B_B12,4694.0,0.5036556881219133,3.9316146677164596,0.0078999996185302,0.0696000009775161,0.1079000011086463,0.17287500575184822,54.0
B_B8A,4694.0,0.8846384959353327,6.030589990086104,0.0161000005900859,0.1986999958753585,0.311599999666214,0.413100004196167,95.0
NDVI,4694.0,0.5647476423482197,0.27352132766575316,-0.1921641993974134,0.2954703753855073,0.5694751988625022,0.8512296134635485,0.9494252870413284
NDBI,4694.0,-0.19403787397188016,0.24433286674686028,-0.668694425164764,-0.3979019325095166,-0.26629393689896974,0.0037980988438554002,0.4000000158522984
NDMI,4694.0,0.19403787397188016,0.24433286674686028,-0.4000000158522984,-0.0037980988438554002,0.26629393689896974,0.3979019325095166,0.668694425164764
GNDVI,4694.0,0.5538680290939717,0.20807041039153726,-0.1634349171492689,0.4000743237449498,0.561888353410849,0.7528628376315369,0.8717619861444327
EVI,4694.0,0.3983255728731398,6.535783751939853,-245.66000437088988,0.1667042093799196,0.3525325543922577,0.6508360131590492,270.0
MNDWI,4694.0,-0.4227222123935561,0.21932880641033878,-0.7259016539530861,-0.5652271905380171,-0.49334033587242593,-0.36420065802853213,0.6262294959159114
phenophase_date_doy_sin,4694.0,-0.4373040801201666,0.5100959905017907,-0.9999631612477099,-0.9326545075388223,-0.5511016400745998,0.05147875477034673,0.7787639308347607
phenophase_date_doy_cos,4694.0,-0.5979021869872184,0.437237185766973,-1.0,-0.941634397659126,-0.8248547748594246,-0.2794856348516098,0.5724039727378144
phenophase_date_month_sin,4694.0,-0.5871164391003143,0.4034665954015184,-1.0,-0.8660254037844386,-0.8660254037844385,1.2246467991473532e-16,0.49999999999999994
phenophase_date_month_cos,4694.0,-0.4710389514278251,0.520311112139421,-1.0,-0.8660254037844388,-0.5000000000000004,-1.8369701987210297e-16,0.8660254037844384
image_date_doy_sin,4694.0,-0.43148662755024936,0.5241689531894846,-0.9999631612477099,-0.9387101892619443,-0.5074150932938452,0.0686147380021341,0.8296770135526188
image_date_doy_cos,4694.0,-0.599954489129459,0.42334090599266244,-1.0,-0.923056206884176,-0.8344381237138473,-0.2629622026565152,0.4850598461951956
image_date_month_sin,4694.0,-0.5423679749149427,0.4481890028735021,-1.0,-0.8660254037844386,-0.8660254037844385,1.2246467991473532e-16,0.49999999999999994
image_date_month_cos,4694.0,-0.47289331660631573,0.5305075487382668,-1.0,-0.8660254037844388,-0.5000000000000004,-1.8369701987210297e-16,0.5000000000000001
Longitude,4694.0,128.4084369466979,3.1722224232055694,124.101344,125.7272251,126.9633779,131.7258851,134.6415486
Latitude,4694.0,47.422857610843636,1.4115096138043173,44.22336657,46.16750342,47.31258719,48.9268582475,49.58568126
